,name,Country,FX_mean_score,FX_std,FX_count,FX_D_mean_score,FX_D_std,FX_E_mean_score,FX_E_std,FX_rank,HB_mean_score,HB_std,HB_count,HB_D_mean_score,HB_D_std,HB_E_mean_score,HB_E_std,HB_rank,PB_mean_score,PB_std,PB_count,PB_D_mean_score,PB_D_std,PB_E_mean_score,PB_E_std,PB_rank,PH_mean_score,PH_std,PH_count,PH_D_mean_score,PH_D_std,PH_E_mean_score,PH_E_std,PH_rank,SR_mean_score,SR_std,SR_count,SR_D_mean_score,SR_D_std,SR_E_mean_score,SR_E_std,SR_rank,VT_mean_score,VT_std,VT_count,VT_D_mean_score,VT_D_std,VT_E_mean_score,VT_E_std,VT_rank,all_scores_std,Standardized_Score_Sum,Total_Appearances,apparatus_participated,mean_score_of_all
207,DAVID WEIR,GBR,13.14,1.13,3.0,5.23,0.12,7.91,1.02,229.0,12.48,1.01,2.0,4.6,0.0,7.88,1.01,304.0,12.7,0.0,1.0,4.2,0.0,8.5,0.0,383.0,11.05,0.0,1.0,3.7,0.0,7.35,0.0,529.0,12.45,0.0,1.0,3.9,0.0,8.55,0.0,403.5,13.42,0.79,6.0,5.0,0.22,8.52,0.7,405.0,0.98,75.24000000000001,14.0,6,12.94
406,JAMES HARDY,AUS,12.48,1.45,5.0,5.14,0.49,7.56,0.8,448.0,11.06,0.51,3.0,4.43,0.06,6.62,0.57,599.0,13.05,0.43,3.0,4.93,0.12,8.12,0.5,285.0,12.14,0.13,3.0,3.73,0.23,8.41,0.26,318.0,12.71,0.58,3.0,4.87,0.23,7.84,0.65,332.0,13.79,0.57,14.0,5.2,0.0,8.63,0.53,249.0,1.13,75.23,31.0,6,12.98
982,ZAID KHATER,EGY,11.53,0.0,1.0,5.0,0.0,6.83,0.0,625.5,12.83,0.0,1.0,4.7,0.0,8.13,0.0,210.5,13.83,0.0,1.0,5.1,0.0,8.73,0.0,99.0,11.1,0.0,1.0,4.4,0.0,6.7,0.0,518.5,12.95,0.31,2.0,5.05,0.21,7.9,0.09,246.5,12.97,0.0,1.0,5.2,0.0,7.77,0.0,558.5,0.95,75.21,7.0,6,12.59
753,PETAR VEFIC,SRB,12.16,1.03,10.0,5.35,0.14,6.85,1.04,536.0,12.1,0.79,8.0,4.4,0.08,7.7,0.79,417.0,12.7,0.79,10.0,5.14,0.25,7.56,0.99,377.0,11.97,1.0,6.0,4.18,0.4,7.79,0.69,364.0,12.75,0.21,6.0,4.17,0.12,8.58,0.32,322.0,13.52,0.33,5.0,4.64,0.36,8.96,0.11,375.0,0.9,75.19999999999999,45.0,6,12.47
616,MATT CORMIER,USA,12.76,1.77,6.0,5.82,0.33,7.06,1.47,359.0,12.95,0.9,6.0,5.25,0.23,7.7,0.94,170.5,12.36,1.03,6.0,5.07,0.29,7.29,0.81,468.0,11.15,1.24,8.0,4.41,0.2,6.74,1.19,509.0,12.68,0.78,6.0,4.78,0.28,7.9,0.69,343.0,13.27,0.74,6.0,5.33,0.21,8.15,0.64,467.0,1.29,75.17,38.0,6,12.46
920,VAHE PETROSYAN,USA,11.13,1.74,3.0,4.83,0.06,6.53,1.53,665.0,12.77,0.75,4.0,4.6,0.2,8.17,0.57,229.0,12.46,1.2,4.0,5.15,0.29,7.31,0.91,448.0,12.55,0.64,4.0,5.3,0.28,7.25,0.76,233.0,12.43,0.19,4.0,4.32,0.1,8.1,0.25,407.0,13.75,0.25,5.0,4.8,0.0,8.97,0.22,268.0,1.08,75.09,24.0,6,12.62
720,OLIVER ZAVEL,USA,13.2,0.14,2.0,5.4,0.14,7.8,0.28,206.0,12.25,0.35,2.0,4.8,0.0,7.45,0.35,370.0,12.55,0.21,2.0,5.2,0.0,7.35,0.21,420.0,11.23,0.46,2.0,4.45,0.07,6.78,0.39,499.0,12.65,0.28,2.0,4.6,0.0,8.05,0.28,353.0,13.2,0.0,2.0,4.8,0.0,8.55,0.21,489.0,0.73,75.08,12.0,6,12.51
48,ALISHER TOIBAZAROV,KAZ,12.98,0.02,2.0,5.0,0.0,8.03,0.05,283.0,12.57,0.0,1.0,4.3,0.0,8.27,0.0,274.0,12.43,0.71,2.0,5.0,0.0,7.43,0.71,455.0,11.37,0.57,2.0,4.25,0.21,7.12,0.35,476.5,12.35,0.26,2.0,3.9,0.0,8.45,0.26,431.0,13.37,0.0,1.0,4.8,0.0,8.67,0.0,439.0,0.72,75.07000000000001,10.0,6,12.42
315,GAURAV KUMAR,IND,12.68,0.3,3.0,5.0,0.35,7.68,0.59,389.0,12.28,0.54,2.0,4.35,0.07,7.93,0.47,358.0,13.34,0.47,4.0,5.28,0.17,8.07,0.41,195.0,11.6,0.14,2.0,4.0,0.14,7.6,0.0,442.5,12.6,0.26,3.0,4.4,0.0,8.2,0.26,367.5,12.57,0.0,1.0,4.0,0.0,8.57,0.0,622.0,0.64,75.07,15.0,6,12.64
713,NOAH NEWFELD,USA,12.28,0.6,4.0,5.1,0.14,7.25,0.47,502.0,11.41,1.37,4.0,4.22,0.15,7.19,1.35,554.0,13.18,0.33,4.0,5.2,0.2,7.98,0.32,244.0,12.18,0.85,4.0,5.2,0.2,6.98,0.79,309.0,12.58,0.39,4.0,4.75,0.17,7.82,0.3,376.0,13.4,0.14,2.0,4.0,0.0,9.4,0.14,415.0,0.94,75.03,22.0,6,12.42
921,VALGARD REINHARDSSON,ISL,12.59,0.97,4.0,5.18,0.26,7.52,0.85,423.0,11.77,0.6,5.0,4.34,0.15,7.43,0.56,492.0,12.68,0.47,5.0,4.8,0.0,7.88,0.47,391.0,11.62,0.51,4.0,3.7,0.29,7.92,0.65,439.0,12.5,0.31,4.0,4.3,0.0,8.2,0.31,395.5,13.87,0.24,4.0,4.8,0.0,9.1,0.19,196.0,0.89,75.03,26.0,6,12.48
684,NEOFYTOS KYRIAKOU,CYP,13.47,0.3,5.0,5.28,0.08,8.19,0.32,130.0,12.53,1.1,5.0,5.12,0.26,7.41,1.0,288.5,12.62,0.35,2.0,4.4,0.28,8.22,0.07,406.0,11.82,0.26,2.0,4.15,0.07,7.67,0.33,394.0,10.57,0.0,1.0,3.0,0.0,7.87,0.0,652.0,13.97,0.49,13.0,5.05,0.2,8.96,0.29,157.0,1.05,74.98,28.0,6,13.25
662,MOHAMMADREZA KHOSRONEZHAD,IRI,12.89,0.3,3.0,4.63,0.12,8.26,0.28,320.0,12.2,0.19,2.0,3.7,0.14,8.5,0.05,389.0,13.47,0.2,3.0,4.6,0.0,8.87,0.2,167.5,10.43,2.19,3.0,3.83,0.64,6.6,1.58,592.5,13.1,0.49,5.0,5.46,0.26,7.64,0.58,194.0,12.83,0.0,1.0,4.0,0.0,8.83,0.0,590.0,1.35,74.92,17.0,6,12.54
169,COLIN FLORES,USA,12.65,0.52,4.0,4.8,0.12,7.92,0.49,403.5,11.19,1.47,4.0,4.55,0.17,6.64,1.37,578.5,12.56,0.82,4.0,4.92,0.22,7.64,0.6,418.0,12.08,0.43,4.0,4.22,0.15,7.85,0.42,333.0,12.89,0.19,4.0,4.43,0.05,8.46,0.2,269.0,13.54,0.09,4.0,4.9,0.2,8.64,0.27,371.0,0.99,74.91,24.0,6,12.48
395,JACOB KARLSEN,NOR,13.17,0.19,2.0,4.5,0.0,8.67,0.19,219.0,12.47,0.19,2.0,3.9,0.14,8.57,0.33,311.0,11.22,0.92,2.0,3.8,0.14,7.42,0.78,629.0,10.97,0.47,2.0,4.25,0.21,6.72,0.68,542.0,12.92,1.24,3.0,5.07,0.59,7.86,0.68,256.0,14.03,0.14,2.0,4.8,0.0,9.23,0.14,136.0,1.24,74.78,13.0,6,12.5
461,JOSE LOPEZ,PUR,12.31,1.09,5.0,4.98,0.24,7.43,1.09,492.0,12.21,0.71,6.0,4.77,0.14,7.45,0.63,381.0,12.82,0.15,5.0,4.64,0.15,8.18,0.08,352.0,11.6,1.05,5.0,4.48,0.13,7.12,1.0,440.0,12.67,0.48,6.0,5.22,0.12,7.45,0.49,346.0,13.14,0.47,11.0,5.2,0.0,8.06,0.42,512.0,0.82,74.75,38.0,6,12.56
569,LUCIANO LETELIER,CHI,12.75,0.82,4.0,5.68,0.05,7.12,0.78,364.5,12.56,0.73,4.0,5.1,0.41,7.46,0.49,275.0,11.96,0.64,4.0,4.65,0.33,7.31,0.62,541.0,11.82,0.93,3.0,5.07,0.51,6.76,1.38,392.0,12.1,0.27,3.0,4.07,0.06,8.03,0.22,498.0,13.51,0.7,3.0,4.8,0.0,8.74,0.65,377.0,0.84,74.7,21.0,6,12.45
964,YOGESHWAR SINGH,IND,11.84,1.04,8.0,5.25,0.22,6.67,1.05,589.5,12.25,0.85,8.0,4.46,0.17,7.78,0.72,372.0,13.14,0.56,6.0,4.83,0.1,8.31,0.5,261.0,12.07,0.64,6.0,4.55,0.47,7.52,0.36,335.0,12.17,0.2,6.0,4.15,0.08,8.02,0.19,474.0,13.23,0.44,12.0,5.13,0.16,8.19,0.49,483.0,0.86,74.7,46.0,6,12.52
535,LAIS NAJJAR,SYR,13.0,0.24,3.0,5.13,0.21,7.87,0.23,280.0,12.1,0.56,3.0,4.37,0.15,7.73,0.7,416.0,12.27,0.93,3.0,5.13,0.4,7.13,0.62,487.0,11.89,0.97,3.0,4.87,0.32,7.02,1.22,378.0,12.19,0.25,3.0,3.9,0.1,8.29,0.15,471.0,13.17,0.67,3.0,4.53,0.23,8.73,0.4,503.0,0.75,74.62,18.0,6,12.44
259,ENKHTUVSHIN DAMDINDORJ,MGL,13.49,0.17,5.0,5.48,0.04,8.01,0.16,123.5,11.95,1.09,5.0,4.6,0.34,7.35,1.14,459.5,11.57,0.89,4.0,4.35,0.37,7.22,0.6,596.0,12.64,1.17,4.0,5.58,0.19,7.07,1.06,214.0,11.47,0.83,4.0,3.95,0.17,7.6,0.58,593.0,13.48,0.48,7.0,4.86,0.15,8.73,0.47,390.0,1.13,74.6,29.0,6,12.56
271,EWAN MC ATEER,IRL,12.4,0.0,1.0,5.1,0.0,7.3,0.0,469.0,12.2,0.0,1.0,4.0,0.0,8.2,0.0,385.0,12.17,0.0,1.0,4.2,0.0,7.97,0.0,507.5,11.73,0.0,1.0,4.0,0.0,7.73,0.0,413.0,11.93,0.0,1.0,3.9,0.0,8.03,0.0,531.5,14.1,0.81,3.0,5.2,0.0,8.9,0.81,114.0,1.14,74.53,8.0,6,12.84
741,PATRICK HARRI AARON PALMROTH,FIN,13.0,0.0,1.0,5.0,0.0,8.0,0.0,277.0,12.4,0.0,1.0,3.9,0.0,8.5,0.0,328.5,12.33,0.0,1.0,4.5,0.0,7.83,0.0,474.5,11.43,0.0,1.0,3.9,0.0,7.53,0.0,469.0,12.0,0.0,1.0,4.0,0.0,8.0,0.0,515.0,13.37,0.29,3.0,4.27,0.23,9.1,0.06,437.0,0.75,74.53,8.0,6,12.66
718,OLIVER KASALA,SVK,12.3,0.0,1.0,4.5,0.0,7.8,0.0,496.5,12.09,0.34,2.0,4.4,0.0,7.69,0.34,418.0,13.56,0.01,2.0,5.2,0.0,8.36,0.01,146.0,11.27,0.0,1.0,4.8,0.0,6.47,0.0,493.0,12.38,0.59,2.0,4.0,0.0,8.38,0.59,423.0,12.93,0.0,1.0,4.0,0.0,8.93,0.0,570.0,0.78,74.53,9.0,6,12.51
219,DIYAS TOISHYBEK,KAZ,12.59,0.07,3.0,4.63,0.12,7.96,0.18,424.0,11.02,1.44,4.0,4.8,0.62,6.22,1.38,605.0,13.19,0.17,3.0,5.0,0.0,8.19,0.17,238.0,12.52,1.59,4.0,5.68,0.65,6.84,0.97,238.0,12.17,0.0,1.0,3.9,0.0,8.27,0.0,477.5,13.03,0.19,2.0,4.0,0.0,9.03,0.19,541.0,1.23,74.52,17.0,6,12.34
153,CHASE DAVENPORT-MILLS,USA,12.75,1.43,3.0,5.67,0.06,7.22,1.23,364.5,12.27,0.56,3.0,4.6,0.26,7.67,0.52,363.5,10.98,0.8,3.0,4.2,0.2,6.78,0.91,649.0,12.07,0.29,3.0,4.43,0.12,7.63,0.25,336.5,12.5,0.2,3.0,4.0,0.0,8.5,0.2,392.0,13.9,0.4,3.0,4.8,0.0,9.13,0.35,185.5,1.09,74.47,18.0,6,12.41
184,DANIEL ALARCON,PER,11.75,0.49,2.0,4.95,0.07,7.05,0.92,602.5,12.42,0.02,2.0,4.7,0.0,7.72,0.02,321.0,12.18,0.17,2.0,4.6,0.0,7.58,0.17,504.0,11.93,1.13,2.0,4.85,0.35,7.08,0.78,371.0,12.87,0.42,2.0,5.2,0.0,7.67,0.42,280.0,13.27,0.71,2.0,5.2,0.0,8.27,0.57,469.0,0.71,74.42,12.0,6,12.4
841,SEBASTIAN GAWRONSKI,POL,13.21,0.65,12.0,5.56,0.16,7.71,0.54,199.0,11.58,0.72,9.0,4.62,0.23,6.95,0.59,532.0,12.51,1.09,12.0,4.84,0.28,7.67,0.93,431.0,10.65,1.33,7.0,4.03,0.39,7.05,0.73,579.0,12.68,0.59,10.0,4.92,0.17,7.76,0.52,342.0,13.75,0.47,24.0,5.33,0.25,8.5,0.48,261.0,1.24,74.38,74.0,6,12.76
49,ALKINOOS NIKOLAOS GRAIKOS,GRE,11.97,0.19,2.0,5.25,0.35,6.72,0.16,569.0,11.75,0.16,2.0,4.45,0.07,7.3,0.24,499.0,12.53,0.0,1.0,4.3,0.0,8.23,0.0,425.0,12.33,0.33,2.0,5.35,0.92,6.98,0.59,273.5,12.13,0.0,1.0,4.2,0.0,7.93,0.0,489.0,13.63,0.0,1.0,4.8,0.0,8.83,0.0,328.5,0.6,74.34,9.0,6,12.27
605,MARTIN MIGGITSCH,AUT,13.07,0.0,1.0,5.2,0.0,7.97,0.0,259.5,11.9,0.0,1.0,3.5,0.0,8.4,0.0,472.5,12.17,0.0,1.0,4.2,0.0,7.97,0.0,507.5,11.7,0.0,1.0,3.8,0.0,7.9,0.0,422.0,12.03,0.0,1.0,4.1,0.0,7.93,0.0,508.0,13.43,0.0,1.0,4.8,0.0,8.73,0.0,403.0,0.7,74.30000000000001,6.0,6,12.38
912,TYLER FLORES,USA,12.7,0.0,1.0,4.6,0.0,8.1,0.0,381.5,12.4,0.0,1.0,4.3,0.0,8.1,0.0,328.5,12.65,0.49,2.0,4.6,0.42,8.05,0.92,397.0,10.02,0.81,2.0,4.4,0.42,5.62,0.39,616.0,12.55,0.0,1.0,4.4,0.0,8.15,0.0,382.5,13.95,0.0,2.0,4.8,0.0,9.15,0.0,163.0,1.47,74.27,9.0,6,12.32
187,DANIEL CARRION CARO,ESP,12.12,2.19,2.0,4.75,0.64,7.37,1.56,548.0,11.63,0.85,2.0,4.15,0.35,7.48,0.49,522.5,12.9,0.52,2.0,4.9,0.0,8.0,0.52,328.0,12.47,0.0,2.0,4.8,0.28,7.67,0.28,247.5,11.83,0.0,1.0,4.5,0.0,7.33,0.0,547.5,13.31,0.57,3.0,4.8,0.69,8.64,0.54,457.0,1.0,74.25999999999999,12.0,6,12.5
794,ROBERT KIRMES,FIN,12.9,1.06,6.0,5.53,0.1,7.58,0.94,319.0,11.39,2.0,6.0,4.72,0.33,6.67,1.8,559.0,12.33,0.69,6.0,4.92,0.19,7.42,0.61,474.5,11.65,0.96,5.0,5.34,0.19,6.31,1.06,432.0,12.41,0.9,4.0,5.03,0.32,7.38,0.93,412.0,13.57,0.49,3.0,4.53,0.46,9.03,0.06,356.0,1.3,74.25,30.0,6,12.28
940,WICHOL RI,PRK,12.1,0.42,2.0,5.05,0.07,7.05,0.35,549.0,11.77,0.0,1.0,5.0,0.0,6.77,0.0,494.0,13.0,1.33,3.0,6.2,0.17,6.8,1.2,303.5,11.17,1.13,2.0,5.2,0.85,6.12,0.07,506.0,12.82,0.31,2.0,4.8,0.28,8.02,0.02,298.0,13.37,0.0,1.0,4.8,0.0,8.57,0.0,439.0,1.05,74.23,11.0,6,12.39
87,ASHER COHEN,USA,12.8,0.71,2.0,4.55,0.07,8.25,0.64,346.5,12.05,0.88,3.0,3.93,0.32,8.12,0.6,435.0,12.73,0.64,3.0,4.6,0.35,8.13,0.98,368.0,10.12,1.36,3.0,3.87,0.15,7.25,0.43,612.0,12.92,0.28,3.0,4.7,0.0,8.22,0.28,257.0,13.58,0.26,3.0,4.8,0.0,8.85,0.25,354.0,1.33,74.2,17.0,6,12.34
625,MAXIM BEREZNEV,USA,12.42,0.83,5.0,5.18,0.11,7.36,0.61,461.0,12.31,0.37,5.0,4.36,0.09,7.95,0.42,351.5,12.27,1.1,5.0,4.68,0.32,7.59,1.28,486.0,10.81,0.92,5.0,4.7,0.19,6.11,1.07,565.0,12.69,0.2,5.0,4.5,0.0,8.19,0.2,340.0,13.66,0.64,5.0,5.2,0.0,8.56,0.57,316.0,1.09,74.16,30.0,6,12.36
501,KELVIN CHAM,GBR,13.1,0.0,1.0,5.2,0.0,7.9,0.0,243.0,12.35,0.0,1.0,3.6,0.0,8.75,0.0,340.5,11.9,0.0,1.0,4.6,0.0,7.3,0.0,548.5,10.6,0.0,1.0,4.3,0.0,6.3,0.0,580.0,13.0,0.0,1.0,4.9,0.0,8.1,0.0,224.0,13.1,0.28,2.0,4.6,0.85,8.65,0.92,519.5,0.95,74.05,7.0,6,12.45
502,KENJI TAMANE,CAN,12.97,0.28,3.0,5.1,0.1,7.87,0.28,289.0,9.83,4.87,3.0,3.9,1.39,7.6,0.74,663.0,13.28,0.19,3.0,4.57,0.12,8.72,0.08,213.0,11.78,1.75,4.0,5.0,0.69,6.78,1.09,399.0,13.0,0.65,3.0,5.53,0.29,7.47,0.53,224.0,13.18,0.6,2.0,4.8,0.0,8.43,0.53,500.5,2.23,74.03999999999999,18.0,6,12.26
487,KACPER GARNCZAREK,POL,12.39,0.78,5.0,5.26,0.22,7.23,0.62,475.0,12.08,0.86,6.0,4.68,0.13,7.4,0.89,422.0,11.91,1.1,3.0,5.1,0.2,6.91,1.31,546.0,11.67,0.91,6.0,4.63,0.41,7.03,0.72,427.0,12.18,0.02,2.0,4.1,0.0,8.08,0.02,472.5,13.78,0.45,2.0,4.6,0.28,9.18,0.17,252.0,0.93,74.00999999999999,24.0,6,12.17
329,GYTIS CHASAZYROVAS,LTU,12.33,1.18,10.0,5.69,0.19,6.87,0.97,490.0,12.06,0.44,6.0,3.87,0.29,8.2,0.44,430.0,12.71,0.75,6.0,4.63,0.43,8.08,0.59,376.0,12.02,1.49,11.0,5.35,0.58,6.67,0.95,355.0,12.12,0.65,7.0,4.61,0.19,7.51,0.61,491.0,12.74,1.73,8.0,4.65,1.26,8.4,0.49,601.0,1.18,73.98,48.0,6,12.31
589,MANUEL MARTINEZ,COL,12.6,0.33,2.0,4.6,0.14,8.15,0.26,421.5,12.38,0.07,2.0,4.6,0.14,7.78,0.21,334.0,12.58,0.72,3.0,5.1,0.17,7.48,0.9,416.0,11.52,0.83,3.0,4.73,0.46,6.79,0.38,457.0,11.72,0.21,2.0,4.7,0.14,7.02,0.35,563.0,13.18,0.64,2.0,4.8,0.0,8.38,0.64,498.0,0.76,73.97999999999999,14.0,6,12.29
667,MUHAMMAD KHAALID MIA,RSA,12.3,0.14,2.0,5.1,0.0,7.2,0.14,496.5,12.55,0.35,2.0,4.6,0.0,7.95,0.35,281.5,13.1,0.21,2.0,4.8,0.0,8.3,0.21,271.0,11.02,3.08,2.0,5.15,0.21,5.88,2.86,533.0,11.98,0.18,2.0,4.3,0.0,7.68,0.18,523.5,13.02,0.18,2.0,4.0,0.0,9.02,0.18,543.0,1.19,73.97,12.0,6,12.33
848,SEVERIN KRANZLMULLER,AUT,12.27,0.28,4.0,4.97,0.15,7.3,0.3,504.0,12.26,0.53,4.0,4.7,0.0,7.56,0.53,367.0,12.17,0.75,4.0,4.85,0.06,7.32,0.7,505.0,11.2,1.1,4.0,4.35,0.53,6.85,0.87,504.0,12.74,0.23,3.0,4.53,0.23,8.21,0.38,324.0,13.28,0.12,2.0,4.4,0.0,8.88,0.12,462.5,0.83,73.92,21.0,6,12.21
27,AIDAN CUY,USA,12.9,0.0,1.0,4.7,0.0,8.2,0.0,314.5,11.65,0.0,1.0,4.0,0.0,7.65,0.0,516.0,12.95,0.21,2.0,4.8,0.0,8.15,0.21,313.5,10.3,0.0,1.0,3.7,0.0,6.6,0.0,600.5,12.3,0.28,2.0,4.3,0.0,8.0,0.28,441.0,13.8,0.0,2.0,5.0,0.28,8.8,0.28,241.0,1.1,73.89999999999999,9.0,6,12.55
86,ASADBEK AZAMOV,UZB,13.07,0.43,4.0,5.03,0.05,8.07,0.5,254.0,11.92,0.35,2.0,3.95,0.07,7.97,0.42,466.5,12.46,0.48,3.0,4.6,0.0,7.96,0.54,450.5,9.57,3.05,3.0,3.63,0.4,6.93,0.94,637.0,12.97,0.61,4.0,5.05,0.1,7.92,0.52,236.0,13.9,0.32,11.0,5.02,0.21,8.89,0.36,191.0,1.63,73.89,27.0,6,12.85
295,FRANCISCO ACUNA,CRC,12.4,0.14,2.0,4.3,0.0,8.1,0.14,469.0,12.07,0.19,3.0,4.2,0.0,7.87,0.19,427.0,12.95,0.07,2.0,4.5,0.0,8.45,0.07,313.5,11.75,0.07,2.0,4.1,0.0,7.65,0.07,408.5,11.75,0.07,2.0,4.0,0.0,7.75,0.07,558.0,12.95,0.07,2.0,4.0,0.0,8.95,0.07,563.0,0.52,73.87,13.0,6,12.29
820,SABA ABESADZE,GEO,12.22,0.61,6.0,5.2,0.18,7.07,0.63,524.0,11.07,0.0,1.0,3.8,0.0,7.27,0.0,598.0,12.54,0.6,6.0,5.25,0.53,7.29,0.47,422.0,12.35,0.64,4.0,4.42,0.43,7.92,0.27,272.0,12.82,0.4,4.0,4.78,0.15,8.04,0.36,295.0,12.87,0.0,1.0,5.2,0.0,7.97,0.0,581.0,0.63,73.87,22.0,6,12.42
105,BENJAMIN EYRE,GBR,13.1,0.0,1.0,5.3,0.0,7.8,0.0,243.0,11.3,0.0,1.0,4.4,0.0,6.9,0.0,564.0,11.7,0.0,1.0,4.8,0.0,6.9,0.0,579.0,11.55,0.0,1.0,4.0,0.0,7.55,0.0,451.5,12.45,0.0,1.0,4.1,0.0,8.35,0.0,403.5,13.75,0.0,1.0,4.8,0.0,8.95,0.0,264.0,0.97,73.85,6.0,6,12.31
186,DANIEL BAGO,CZE,13.4,0.0,1.0,4.9,0.0,8.5,0.0,145.5,12.23,0.0,1.0,4.2,0.0,8.03,0.0,375.5,10.67,2.78,2.0,3.95,0.49,6.72,2.29,667.0,11.77,0.0,1.0,4.0,0.0,7.77,0.0,404.0,12.42,0.31,2.0,4.2,0.14,8.22,0.45,410.0,13.27,0.0,1.0,4.4,0.0,8.97,0.0,469.0,1.48,73.76,8.0,6,12.11
887,TEODOR TRIFONOV,BUL,12.93,1.18,5.0,5.54,0.09,7.39,1.21,307.0,11.91,0.64,5.0,4.26,0.19,7.65,0.72,468.0,12.36,0.81,5.0,4.4,0.19,7.96,0.67,469.0,11.2,1.19,5.0,4.48,0.13,6.72,1.17,503.0,12.03,0.48,3.0,4.53,0.06,7.5,0.54,506.0,13.27,0.43,7.0,4.46,0.43,8.89,0.43,465.0,1.06,73.7,30.0,6,12.37
1,ABDERRAZAK NASSER,MAR,12.41,0.08,2.0,4.75,0.07,7.66,0.01,465.0,11.52,0.73,2.0,4.2,0.0,7.32,0.73,543.0,12.11,0.61,3.0,4.4,0.0,7.71,0.61,518.0,12.02,1.03,5.0,5.14,0.33,6.88,0.81,353.0,12.03,0.0,1.0,3.7,0.0,8.33,0.0,508.0,13.6,0.17,3.0,4.53,0.46,9.07,0.29,347.0,0.91,73.69,16.0,6,12.32
831,SAMUEL GHINN,GBR,12.2,0.0,1.0,5.5,0.0,6.7,0.0,529.0,12.05,0.78,2.0,3.9,0.28,8.15,0.49,432.5,12.9,0.0,1.0,5.1,0.0,7.8,0.0,325.5,10.82,2.58,2.0,4.5,1.41,6.32,1.17,563.0,12.5,0.0,1.0,3.9,0.0,8.6,0.0,392.0,13.2,0.0,1.0,4.8,0.0,8.5,0.0,489.0,1.34,73.67,8.0,6,12.07
493,KAZUKI HAYASHI,USA,13.05,1.2,2.0,5.4,0.0,7.65,1.2,262.5,11.6,0.49,2.0,4.8,0.0,6.8,0.49,528.0,12.88,0.18,2.0,4.95,0.07,7.92,0.25,335.5,9.82,0.32,2.0,3.85,0.21,5.98,0.53,624.0,11.95,0.42,2.0,4.3,0.0,7.65,0.42,529.0,14.3,0.42,2.0,5.2,0.0,9.1,0.42,52.0,1.52,73.6,12.0,6,12.27
248,ELLIOTT COOPER,GBR,12.45,0.0,1.0,4.8,0.0,7.65,0.0,453.0,12.3,0.0,1.0,4.2,0.0,8.1,0.0,355.0,12.7,0.0,1.0,4.8,0.0,7.9,0.0,383.0,12.05,0.0,1.0,4.3,0.0,7.75,0.0,345.5,11.55,0.0,1.0,4.5,0.0,7.05,0.0,584.5,12.55,0.0,1.0,4.8,0.0,8.05,0.0,623.5,0.42,73.6,6.0,6,12.27
643,MICHALIS CHARI,CYP,12.64,0.81,10.0,5.59,0.11,7.1,0.69,410.0,11.83,0.28,5.0,3.9,0.2,7.93,0.36,485.0,12.53,0.69,7.0,4.11,0.19,8.41,0.57,428.0,10.89,1.12,6.0,3.83,0.29,7.06,1.12,553.0,12.3,0.52,4.0,4.52,0.15,7.77,0.51,445.0,13.39,0.79,4.0,4.8,0.0,8.69,0.65,425.0,1.03,73.58,36.0,6,12.26
73,ANZE HRIBAR,SLO,12.51,1.02,7.0,5.61,0.15,6.91,0.88,437.0,11.91,0.56,5.0,4.2,0.0,7.71,0.56,469.0,12.73,0.0,1.0,3.9,0.0,8.83,0.0,370.0,10.8,0.0,1.0,3.6,0.0,7.2,0.0,567.5,11.9,0.66,2.0,4.2,0.0,7.7,0.66,543.0,13.73,0.0,1.0,4.8,0.0,8.93,0.0,276.0,0.93,73.58,17.0,6,12.25
415,JAVIER ROJO,MEX,13.04,0.86,2.0,5.4,0.14,7.64,0.72,267.0,12.37,0.0,1.0,4.7,0.0,7.67,0.0,337.5,12.15,0.0,1.0,4.8,0.0,7.35,0.0,511.0,11.07,0.0,1.0,3.8,0.0,7.27,0.0,526.5,12.2,0.0,1.0,4.2,0.0,8.0,0.0,468.0,12.65,1.53,2.0,4.0,1.7,8.65,0.16,617.0,0.92,73.48,8.0,6,12.4
917,USUKHBAYAR ERKHEMBAYAR,MGL,12.95,0.69,5.0,5.42,0.13,7.59,0.58,300.0,11.17,0.48,5.0,4.0,0.21,7.17,0.3,584.0,11.99,0.54,5.0,4.38,0.11,7.61,0.47,535.0,11.75,1.38,5.0,5.08,0.44,6.67,1.09,405.0,11.96,0.55,5.0,3.98,0.08,8.04,0.39,527.0,13.64,0.4,9.0,4.44,0.42,9.2,0.15,326.0,1.11,73.46000000000001,34.0,6,12.41
350,HILLAL METIDJI,ALG,10.83,0.0,1.0,4.0,0.0,7.13,0.0,685.5,12.07,0.0,1.0,4.7,0.0,7.37,0.0,428.5,12.53,0.53,5.0,5.14,0.18,7.39,0.65,427.0,11.73,1.17,5.0,4.74,0.15,6.99,1.23,416.0,12.57,0.0,1.0,4.5,0.0,8.07,0.0,380.0,13.7,0.0,1.0,4.8,0.0,8.9,0.0,297.0,0.98,73.42999999999999,14.0,6,12.18
823,SALEEM NAGHOUJ,JOR,11.45,0.95,4.0,4.8,0.34,6.68,0.76,633.0,11.05,1.83,4.0,4.25,0.3,6.8,1.56,600.0,12.93,1.02,5.0,4.88,0.33,8.05,0.79,321.0,11.65,0.7,4.0,4.35,0.19,7.3,0.6,430.0,12.48,0.53,4.0,4.55,0.21,7.92,0.41,399.0,13.84,0.39,14.0,4.97,0.21,8.92,0.33,216.0,1.34,73.4,35.0,6,12.71
