,name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
221,KUMUDI IMANYA ABEYRATNE,w,SRI,,birmingham 2022 commonwealth games,qual,"birmingham, england",FX,39.0,2.9,4.45,,7.35
222,KUMUDI IMANYA ABEYRATNE,w,SRI,,birmingham 2022 commonwealth games,qual,"birmingham, england",UB,39.0,1.2,4.3,,5.5
226,JANA ABOELHASAN,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",BB,116.0,4.6,5.9,,10.5
227,JANA ABOELHASAN,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,74.0,4.4,7.866,,12.266
228,JANA ABOELHASAN,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",UB,113.0,4.4,6.5,,10.9
229,JANA ABOELHASAN,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,138.0,3.2,8.4,,11.6
230,JANA ABOELHASAN,w,EGY,,2022 paris world challenge cup,qual,"paris, france",BB,35.0,4.7,5.8,,10.5
231,JANA ABOELHASAN,w,EGY,,2022 paris world challenge cup,qual,"paris, france",FX,27.0,4.4,6.65,0.4,10.65
232,YAMILET ABREU,w,DOM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",BB,,3.9,6.2,,10.1
233,YAMILET ABREU,w,DOM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",FX,,5.0,7.467,0.1,12.367
234,YAMILET ABREU,w,DOM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",UB,,4.5,7.233,,11.733
235,YAMILET ABREU,w,DOM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",VT,,4.6,8.067,0.1,12.567
245,ONDINE ACHAMPONG,w,GBR,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",BB,15.0,5.7,7.266,,12.966
246,ONDINE ACHAMPONG,w,GBR,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",BB,,5.7,8.0,,13.7
247,ONDINE ACHAMPONG,w,GBR,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,16.0,5.3,8.033,,13.333
248,ONDINE ACHAMPONG,w,GBR,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",UB,51.0,5.8,7.033,,12.833
249,ONDINE ACHAMPONG,w,GBR,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",VT,,5.0,9.366,,14.366
250,ONDINE ACHAMPONG,w,GBR,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,3.0,5.0,9.466,,14.466
251,ONDINE ACHAMPONG,w,GBR,2022-03-24,2022 british gymnastics championships,final,"liverpool, england",BB,4.0,5.1,7.7,0.0,12.8
252,ONDINE ACHAMPONG,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",BB,1.0,5.9,7.75,0.0,13.65
253,ONDINE ACHAMPONG,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",FX,12.0,5.2,7.6,0.3,12.5
254,ONDINE ACHAMPONG,w,GBR,2022-03-24,2022 british gymnastics championships,final,"liverpool, england",UB,5.0,5.6,7.3,0.0,12.9
255,ONDINE ACHAMPONG,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",UB,7.0,5.6,7.5,0.0,13.1
256,ONDINE ACHAMPONG,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",VT1,1.0,5.0,9.25,0.0,14.25
257,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,final,"munich, germany",BB,2.0,5.5,7.9,,13.4
258,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,qual,"munich, germany",BB,7.0,5.5,7.766,,13.266
259,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,teamfinal,"munich, germany",BB,4.0,5.7,8.0,,13.7
260,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,qual,"munich, germany",FX,25.0,5.3,7.566,0.2,12.666
261,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,qual,"munich, germany",UB,43.0,5.8,6.433,,12.233
262,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,teamfinal,"munich, germany",UB,24.0,5.6,6.833,,12.433
263,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,qual,"munich, germany",VT1,4.0,5.0,8.933,,13.933
264,ONDINE ACHAMPONG,w,GBR,2022-08-11,2022 senior european championships,teamfinal,"munich, germany",VT1,7.0,5.0,8.9,,13.9
265,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",BB,5.0,5.9,7.7,,13.6
266,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",BB,16.0,5.6,7.833,,13.433
267,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,teamfinal,"antwerp, belgium",BB,,6.2,7.733,,13.933
268,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",FX,17.0,5.3,7.4,,12.7
269,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",FX,33.0,5.3,7.566,,12.866
270,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",UB,20.0,4.9,7.633,,12.533
271,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",UB,56.0,4.9,7.833,,12.733
272,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",VT,4.0,5.0,9.133,,14.133
273,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,teamfinal,"antwerp, belgium",VT,,5.0,9.166,,14.166
274,ONDINE ACHAMPONG,w,GBR,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",VT1,9.0,5.0,9.3,,14.3
275,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,final,"liverpool, england",BB,1.0,5.7,8.1,0.0,13.8
276,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",BB,2.0,5.5,8.3,0.0,13.8
277,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,final,"liverpool, england",FX,8.0,5.2,6.75,0.0,11.95
278,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",FX,4.0,5.3,7.9,0.0,13.2
279,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,final,"liverpool, england",UB,5.0,5.8,8.3,0.0,14.1
280,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",UB,2.0,5.7,8.0,0.0,13.7
281,ONDINE ACHAMPONG,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",VT1,16.0,5.0,9.3,0.0,14.3
282,ONDINE ACHAMPONG,w,GBR,2023-04-11,2023 senior european championships,final,"antalya, turkey",BB,4.0,5.9,7.633,,13.533
283,ONDINE ACHAMPONG,w,GBR,2023-04-11,2023 senior european championships,qual,"antalya, turkey",BB,4.0,5.7,7.666,,13.366
284,ONDINE ACHAMPONG,w,GBR,2023-04-11,2023 senior european championships,qual,"antalya, turkey",FX,8.0,5.3,7.866,,13.166
285,ONDINE ACHAMPONG,w,GBR,2023-04-11,2023 senior european championships,qual,"antalya, turkey",VT1,6.0,5.0,8.966,,13.966
286,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,aafinal,"birmingham, england",BB,4.0,5.7,6.8,,12.5
287,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,qual,"birmingham, england",BB,4.0,5.7,7.6,,13.3
288,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,aafinal,"birmingham, england",FX,1.0,5.3,8.05,,13.35
289,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,final,"birmingham, england",FX,2.0,5.3,7.733,,13.033
290,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,qual,"birmingham, england",FX,11.0,5.3,7.25,,12.55
291,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,aafinal,"birmingham, england",UB,3.0,6.0,7.25,,13.25
292,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,final,"birmingham, england",UB,4.0,6.0,7.433,,13.433
293,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,qual,"birmingham, england",UB,2.0,6.1,7.65,,13.75
294,ONDINE ACHAMPONG,w,GBR,,birmingham 2022 commonwealth games,aafinal,"birmingham, england",VT,1.0,5.0,8.9,,13.9
296,BARBARA ACHONDO ANDINO,w,CHI,,2022 osijek world challenge cup,qual,"osijek, croatia",FX,13.0,4.7,7.333,0.1,11.933
297,BARBARA ACHONDO ANDINO,w,CHI,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",BB,,3.6,7.433,0.1,10.933
298,BARBARA ACHONDO ANDINO,w,CHI,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",FX,,4.2,8.1,,12.3
299,BARBARA ACHONDO ANDINO,w,CHI,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",UB,,4.1,6.933,0.3,10.733
300,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",BB,17.0,3.6,7.6,0.1,11.1
301,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",BB,31.0,3.8,7.233,,11.033
302,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",FX,10.0,4.5,7.833,,12.333
303,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,final,"santiago, chile",FX,8.0,4.4,7.9,0.1,12.2
304,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",FX,10.0,4.6,8.033,,12.633
305,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",UB,24.0,3.4,4.866,,8.266
306,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",UB,26.0,4.2,7.233,,11.433
307,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",VT,24.0,3.2,8.2,,11.4
308,BARBARA ACHONDO ANDINO,w,CHI,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",VT1,45.0,3.2,8.166,,11.366
322,THELMA ADALSTEINSDOTTIR,w,ISL,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",BB,69.0,4.7,7.0,0.1,11.6
323,THELMA ADALSTEINSDOTTIR,w,ISL,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,127.0,3.7,7.733,,11.433
324,THELMA ADALSTEINSDOTTIR,w,ISL,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",UB,108.0,4.2,6.833,,11.033
325,THELMA ADALSTEINSDOTTIR,w,ISL,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,126.0,3.8,8.266,,12.066
326,THELMA ADALSTEINSDOTTIR,w,ISL,2022-08-11,2022 senior european championships,qual,"munich, germany",BB,35.0,4.7,7.533,,12.233
327,THELMA ADALSTEINSDOTTIR,w,ISL,2022-08-11,2022 senior european championships,qual,"munich, germany",FX,91.0,3.6,7.533,,11.133
328,THELMA ADALSTEINSDOTTIR,w,ISL,2022-08-11,2022 senior european championships,qual,"munich, germany",UB,57.0,4.1,7.633,,11.733
329,THELMA ADALSTEINSDOTTIR,w,ISL,2022-08-11,2022 senior european championships,qual,"munich, germany",VT1,69.0,3.8,8.533,,12.333
330,THELMA ADALSTEINSDOTTIR,w,ISL,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",BB,69.0,4.8,7.333,,12.133
331,THELMA ADALSTEINSDOTTIR,w,ISL,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",FX,62.0,4.8,7.7,,12.5
332,THELMA ADALSTEINSDOTTIR,w,ISL,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",UB,79.0,4.3,7.866,,12.166
333,THELMA ADALSTEINSDOTTIR,w,ISL,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",VT1,135.0,4.2,8.4,0.3,12.3
334,THELMA ADALSTEINSDOTTIR,w,ISL,2023-04-11,2023 senior european championships,qual,"antalya, turkey",BB,57.0,4.8,6.466,0.1,11.166
335,THELMA ADALSTEINSDOTTIR,w,ISL,2023-04-11,2023 senior european championships,qual,"antalya, turkey",FX,78.0,4.5,7.066,,11.566
336,THELMA ADALSTEINSDOTTIR,w,ISL,2023-04-11,2023 senior european championships,qual,"antalya, turkey",UB,54.0,4.3,7.933,,12.233
337,THELMA ADALSTEINSDOTTIR,w,ISL,2023-04-11,2023 senior european championships,qual,"antalya, turkey",VT1,82.0,3.8,8.5,,12.3
338,JESS ADAMSON,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",BB,54.0,4.3,5.4,0.0,9.7
339,JESS ADAMSON,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",FX,52.0,4.0,6.45,0.0,10.45
340,JESS ADAMSON,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",UB,24.0,3.7,7.6,0.0,11.3
341,JESS ADAMSON,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",VT1,44.0,3.6,8.4,0.0,12.0
486,NASHELY ESMERALDA ALBA RODRIGUEZ,w,DOM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",VT,,3.8,8.233,,12.033
487,RUBA ALDAOUD,w,JOR,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",VT1,23.0,3.2,8.6,,11.8
488,RUBA ALDAOUD,w,JOR,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",VT2,23.0,1.6,8.566,,10.166
576,KATYNA ALICEA,w,PUR,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",BB,48.0,4.3,4.3,,8.6
577,KATYNA KAMILA ALICEA CARDONA,w,PUR,2023-05-26,2023 artistic gymnastics senior pan american championships,teamfinal,"medellin, colombia",FX,,4.1,7.3,0.1,11.3
578,KATYNA KAMILA ALICEA CARDONA,w,PUR,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",FX,,4.0,7.233,,11.233
579,KATYNA KAMILA ALICEA CARDONA,w,PUR,2023-05-26,2023 artistic gymnastics senior pan american championships,teamfinal,"medellin, colombia",UB,,4.1,6.3,,10.4
580,KATYNA KAMILA ALICEA CARDONA,w,PUR,2023-05-26,2023 artistic gymnastics senior pan american championships,teamfinal,"medellin, colombia",VT,,3.2,8.067,,11.267
585,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,qual,"tampa, fl",BB,,5.7,7.9,,13.6
586,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,final,"tampa, fl",BB,,5.7,8.25,,13.95
587,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,qual,"tampa, fl",FX,,4.5,7.55,0.1,11.95
588,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,final,"tampa, fl",FX,,4.5,6.85,,11.35
589,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,qual,"tampa, fl",UB,,4.5,7.85,,12.35
590,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,final,"tampa, fl",UB,,4.5,7.95,,12.45
591,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,qual,"tampa, fl",VT,,4.6,7.65,0.3,11.95
592,CIENA ALIPIO,w,USA,2022-08-19,2022 u.s. championships,final,"tampa, fl",VT,,4.6,8.7,0.1,13.2
593,CIENA ALIPIO,w,USA,,2022 u.s. classic,aafinal,"west valley city, utah",BB,12.0,4.6,6.8,,11.4
594,CIENA ALIPIO,w,USA,,2022 u.s. classic,aafinal,"west valley city, utah",FX,6.0,4.5,7.7,,12.2
595,CIENA ALIPIO,w,USA,,2022 u.s. classic,aafinal,"west valley city, utah",UB,11.0,4.6,7.85,,12.45
596,CIENA ALIPIO,w,USA,,2022 u.s. classic,aafinal,"west valley city, utah",VT,,4.6,8.7,,13.3
597,CIENA ALIPIO,w,USA,2022-02-25,2022 winter cup,aafinal,"frisco, texas",BB,17.0,5.6,6.65,,12.25
598,CIENA ALIPIO,w,USA,2022-02-25,2022 winter cup,aafinal,"frisco, texas",FX,19.0,5.0,6.85,,11.85
599,CIENA ALIPIO,w,USA,2022-02-25,2022 winter cup,aafinal,"frisco, texas",UB,11.0,4.6,8.3,,12.9
600,CIENA ALIPIO,w,USA,2022-02-25,2022 winter cup,aafinal,"frisco, texas",VT,,4.6,8.7,0.1,13.2
640,ALEJANDRA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",BB,22.0,4.3,7.266,,11.566
641,ALEJANDRA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",FX,44.0,4.3,6.2,0.1,10.4
642,ALEJANDRA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",UB,37.0,3.6,7.333,,10.933
643,ALEJANDRA SOFIA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",BB,24.0,4.3,4.833,,9.133
644,ALEJANDRA SOFIA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",FX,23.0,4.5,6.766,,11.266
645,ALEJANDRA SOFIA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",UB,21.0,3.5,7.1,,10.6
646,ALEJANDRA SOFIA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,aafinal,"santiago, chile",VT,17.0,4.2,8.433,,12.633
647,ALEJANDRA SOFIA ALVAREZ DIAZ,w,PUR,2023-10-21,santiago 2023 xix pan american games,qual,"santiago, chile",VT1,29.0,4.2,8.333,,12.533
662,JULIANA MYA AMEDE ABSOLAM,w,JAM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",BB,,3.5,5.1,,8.6
663,JULIANA MYA AMEDE ABSOLAM,w,JAM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",FX,,4.1,6.467,,10.567
664,JULIANA MYA AMEDE ABSOLAM,w,JAM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",UB,,3.1,6.933,,10.033
665,JULIANA MYA AMEDE ABSOLAM,w,JAM,2023-05-26,2023 artistic gymnastics senior pan american championships,teamqual,"medellin, colombia",VT,,3.2,7.433,0.3,10.333
666,NAMUUNAA AMGALAN,w,MGL,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",BB,38.0,4.5,4.433,,8.933
667,NAMUUNAA AMGALAN,w,MGL,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",FX,38.0,3.5,5.967,,9.467
668,MEI AMORELLI,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",BB,22.0,4.2,7.3,0.0,11.5
669,MEI AMORELLI,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",FX,31.0,4.3,6.7,0.0,11.0
670,MEI AMORELLI,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",UB,35.0,3.4,6.5,0.0,9.9
671,MEI AMORELLI,w,GBR,2023-03-23,2023 british gymnastics championships,qual,"liverpool, england",VT1,30.0,3.4,8.7,0.0,12.1
672,LOBAR AMRILLAEVA,w,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",BB,25.0,4.8,6.367,,11.167
673,LOBAR AMRILLAEVA,w,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",FX,22.0,4.7,6.567,,11.267
674,LOBAR AMRILLAEVA,w,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",UB,30.0,3.6,6.033,,9.633
675,LOBAR AMRILLAEVA,w,UZB,,2023 10th senior artistic gymnastics asian championships,qual,singapore,BB,37.0,4.3,6.166,,10.466
676,LOBAR AMRILLAEVA,w,UZB,,2023 10th senior artistic gymnastics asian championships,qual,singapore,FX,12.0,4.8,7.933,,12.733
677,LOBAR AMRILLAEVA,w,UZB,,2023 10th senior artistic gymnastics asian championships,qual,singapore,UB,32.0,4.3,6.166,,10.466
678,LOBAR AMRILLAEVA,w,UZB,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",BB,17.0,4.9,7.2,,12.1
679,LOBAR AMRILLAEVA,w,UZB,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",FX,21.0,4.9,7.166,0.1,11.966
680,LOBAR AMRILLAEVA,w,UZB,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",UB,28.0,3.6,6.3,,9.9
681,LOBAR AMRILLAEVA,w,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",BB,26.0,4.9,5.433,0.1,10.233
682,LOBAR AMRILLAEVA,w,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",FX,18.0,4.6,6.333,0.0,10.933
683,LOBAR AMRILLAEVA,w,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",UB,16.0,4.3,6.133,0.0,10.433
684,LOBAR AMRILLAEVA,w,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",VT1,9.0,3.8,8.566,0.0,12.366
685,LOBAR AMRILLAEVA,w,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",VT2,9.0,3.4,8.733,0.0,12.133
686,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,qual,"hangzhou, china",BB,19.0,5.2,6.7,,11.9
687,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,aafinal,"hangzhou, china",BB,9.0,5.1,6.933,,12.033
688,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,qual,"hangzhou, china",FX,12.0,5.1,7.566,0.1,12.566
689,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,aafinal,"hangzhou, china",FX,14.0,5.0,6.4,0.3,11.1
690,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,final,"hangzhou, china",UB,1.0,6.1,8.166,,14.266
691,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,qual,"hangzhou, china",UB,3.0,6.0,7.933,,13.933
692,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,aafinal,"hangzhou, china",UB,2.0,6.1,7.533,,13.633
693,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,aafinal,"hangzhou, china",VT,1.0,5.6,8.2,0.3,13.5
694,CHANGOK AN,w,PRK,2023-09-24,hangzhou 2022 19th asian games,final,"hangzhou, china",VT1,1.0,5.0,9.033,0.1,13.933
