,name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
17,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PB,26.0,5.8,8.5,,14.3
18,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",PH,21.0,5.1,6.166,,11.266
19,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PH,55.0,5.2,7.566,,12.766
20,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",PH,,4.4,7.233,,11.633
21,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",SR,12.0,5.3,7.933,,13.233
22,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",SR,90.0,4.9,7.666,,12.566
23,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",SR,,5.3,8.5,,13.8
24,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",VT,20.0,4.8,9.033,0.1,13.733
25,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,97.0,4.8,9.0,0.3,13.5
26,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,qual,"munich, germany",FX,86.0,5.4,7.133,0.1,12.433
27,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,qual,"munich, germany",HB,10.0,5.3,8.5,,13.8
28,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,teamfinal,"munich, germany",HB,10.0,5.3,8.1,,13.4
29,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,qual,"munich, germany",PB,9.0,5.8,8.6,,14.4
30,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,teamfinal,"munich, germany",PB,10.0,5.8,8.266,,14.066
31,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,qual,"munich, germany",PH,105.0,5.0,5.5,,10.5
32,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,qual,"munich, germany",SR,23.0,5.3,8.366,,13.666
33,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,teamfinal,"munich, germany",SR,6.0,5.3,8.333,,13.633
34,NESTOR ABAD,m,ESP,2022-08-18,2022 senior european championships,qual,"munich, germany",VT1,36.0,5.2,9.2,0.3,14.1
35,NESTOR ABAD,m,ESP,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",FX,21.0,5.5,8.666,,14.166
36,NESTOR ABAD,m,ESP,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",HB,66.0,4.8,8.233,,13.033
37,NESTOR ABAD,m,ESP,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PB,59.0,5.8,8.3,0.3,13.8
38,NESTOR ABAD,m,ESP,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PH,58.0,5.0,8.1,,13.1
39,NESTOR ABAD,m,ESP,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",SR,33.0,5.3,8.3,,13.6
40,NESTOR ABAD,m,ESP,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",VT1,126.0,5.2,8.0,,13.2
41,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",FX,24.0,5.4,7.233,,12.633
42,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,qual,"antalya, turkey",FX,94.0,4.6,8.0,0.1,12.5
43,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",HB,9.0,5.3,8.1,,13.4
44,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,final,"antalya, turkey",HB,4.0,5.3,8.366,,13.666
45,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,qual,"antalya, turkey",HB,5.0,5.3,8.433,,13.733
46,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",PB,10.0,5.8,8.033,,13.833
47,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,qual,"antalya, turkey",PB,23.0,5.8,8.1,,13.9
48,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",PH,12.0,4.7,8.3,,13.0
49,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,qual,"antalya, turkey",PH,28.0,5.0,8.233,,13.233
50,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,qual,"antalya, turkey",SR,17.0,5.3,8.466,,13.766
51,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",SR,4.0,5.3,8.366,,13.666
52,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",VT1,22.0,5.2,7.9,0.1,13.0
53,NESTOR ABAD,m,ESP,2023-04-11,2023 senior european championships,qual,"antalya, turkey",VT1,69.0,4.8,9.0,0.1,13.7
54,NESTOR ABAD,m,ESP,2023-06-01,2023 tel aviv world challenge cup,final,"tel aviv, israel",HB,1.0,5.3,8.5,,13.8
55,NESTOR ABAD,m,ESP,2023-06-01,2023 tel aviv world challenge cup,qual,"tel aviv, israel",HB,1.0,5.3,8.35,,13.65
56,NESTOR ABAD,m,ESP,2023-06-01,2023 tel aviv world challenge cup,qual,"tel aviv, israel",PH,11.0,5.0,7.0,,12.0
57,NESTOR ABAD,m,ESP,2023-06-01,2023 tel aviv world challenge cup,qual,"tel aviv, israel",SR,2.0,5.7,8.35,,14.05
58,NESTOR ABAD,m,ESP,2023-06-01,2023 tel aviv world challenge cup,final,"tel aviv, israel",SR,2.0,5.7,8.3,,14.0
59,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",FX,17.0,5.1,8.466,,13.566
60,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,34.0,5.1,8.566,,13.666
61,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",FX,,5.1,8.633,,13.733
62,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",HB,24.0,5.1,5.1,0.3,9.9
63,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",HB,27.0,5.6,8.0,,13.6
64,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",HB,,5.6,8.033,,13.633
65,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",PB,20.0,5.3,7.766,,13.066
66,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PB,52.0,5.3,8.4,,13.7
67,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",PH,7.0,5.5,8.166,,13.666
68,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PH,15.0,5.5,8.466,,13.966
69,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",PH,,5.5,6.8,,12.3
70,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",SR,13.0,4.7,8.466,,13.166
71,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",SR,60.0,4.7,8.3,,13.0
72,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",SR,,4.7,8.333,,13.033
73,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",VT,18.0,4.8,9.066,,13.866
74,YUMIN ABBADINI,m,ITA,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,84.0,4.8,8.9,0.1,13.6
75,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,qual,"munich, germany",FX,19.0,5.4,8.433,,13.833
76,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,qual,"munich, germany",HB,11.0,5.6,8.2,,13.8
77,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,teamfinal,"munich, germany",HB,6.0,5.6,8.166,,13.766
78,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,qual,"munich, germany",PB,91.0,4.7,7.333,,12.033
79,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,qual,"munich, germany",PH,61.0,5.0,7.533,,12.533
80,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,teamfinal,"munich, germany",PH,5.0,5.5,8.333,,13.833
81,YUMIN ABBADINI,m,ITA,2022-08-18,2022 senior european championships,teamfinal,"munich, germany",SR,13.0,5.0,8.366,,13.366
82,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",FX,8.0,5.4,8.466,,13.866
83,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",FX,64.0,5.4,8.433,0.3,13.533
84,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,teamfinal,"antwerp, belgium",FX,,5.4,8.5,,13.9
85,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",HB,6.0,5.9,8.133,,14.033
86,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",HB,11.0,5.9,8.133,,14.033
87,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,teamfinal,"antwerp, belgium",HB,,5.9,8.133,,14.033
88,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",PB,13.0,5.5,8.433,,13.933
89,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PB,41.0,5.5,8.5,,14.0
90,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",PH,4.0,5.5,8.3,,13.8
91,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PH,40.0,5.8,7.7,,13.5
92,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,teamfinal,"antwerp, belgium",PH,,5.8,6.933,,12.733
93,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",SR,10.0,4.7,8.6,,13.3
94,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",SR,41.0,4.7,8.8,,13.5
95,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,teamfinal,"antwerp, belgium",SR,,4.7,8.566,,13.266
96,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,aafinal,"antwerp, belgium",VT,18.0,4.8,9.1,,13.9
97,YUMIN ABBADINI,m,ITA,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",VT1,80.0,4.8,9.166,,13.966
98,YUMIN ABBADINI,m,ITA,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",FX,11.0,5.5,8.033,,13.533
99,YUMIN ABBADINI,m,ITA,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",HB,10.0,5.3,8.233,,13.533
100,YUMIN ABBADINI,m,ITA,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",PH,15.0,6.4,7.033,,13.433
101,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",FX,11.0,5.5,8.266,,13.766
102,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,qual,"antalya, turkey",FX,11.0,5.5,8.466,,13.966
103,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",HB,4.0,5.3,8.166,,13.466
104,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,qual,"antalya, turkey",HB,90.0,5.3,6.833,,12.133
105,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",PB,8.0,5.3,8.7,,14.0
106,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,qual,"antalya, turkey",PB,40.0,5.3,8.2,,13.5
107,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",PH,1.0,5.7,8.4,,14.1
108,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,final,"antalya, turkey",PH,6.0,5.7,8.466,,14.166
109,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,qual,"antalya, turkey",PH,6.0,5.7,8.566,,14.266
110,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,qual,"antalya, turkey",SR,26.0,4.7,8.8,,13.5
111,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",SR,10.0,4.7,8.566,,13.266
112,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,aafinal,"antalya, turkey",VT1,18.0,4.8,8.866,0.1,13.566
113,YUMIN ABBADINI,m,ITA,2023-04-11,2023 senior european championships,qual,"antalya, turkey",VT1,64.0,4.8,8.933,,13.733
114,ABDELRAHMAN ABDELHALEEM,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,113.0,5.2,7.2,0.4,12.0
115,ABDELRAHMAN ABDELHALEEM,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",HB,68.0,4.6,8.166,,12.766
116,ABDELRAHMAN ABDELHALEEM,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PB,122.0,4.3,8.1,,12.4
117,ABDELRAHMAN ABDELHALEEM,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PH,55.0,5.2,7.566,,12.766
118,ABDELRAHMAN ABDELHALEEM,m,EGY,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",HB,15.0,4.8,7.2,,12.0
119,ABDELRAHMAN ABDELHALEEM,m,EGY,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",PH,25.0,5.4,6.766,,12.166
120,ABDELRAHMAN ABDELHALEEM,m,EGY,,2022 paris world challenge cup,qual,"paris, france",HB,26.0,4.6,8.0,,12.6
121,ABDELRAHMAN ABDELHALEEM,m,EGY,,2022 paris world challenge cup,qual,"paris, france",PH,27.0,5.7,7.0,,12.7
122,ABDELRAHMAN ABDELHALEEM,m,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",PH,21.0,5.8,7.266,,13.066
123,ABDELRAHMAN ABDELHALEEM,m,EGY,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",PH,9.0,5.6,8.5,,14.1
124,AHMED ABDELRAHMAN,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,116.0,5.4,7.433,0.9,11.933
125,AHMED ABDELRAHMAN,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",HB,61.0,4.4,8.566,,12.966
126,AHMED ABDELRAHMAN,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PB,92.0,5.2,7.8,,13.0
127,AHMED ABDELRAHMAN,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PH,37.0,4.9,8.266,,13.166
128,AHMED ABDELRAHMAN,m,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,50.0,5.2,8.766,,13.966
129,AHMED ABDELRAHMAN,m,EGY,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",FX,9.0,5.4,7.966,0.1,13.266
130,AHMED ABDELRAHMAN,m,EGY,,2022 paris world challenge cup,qual,"paris, france",PH,21.0,4.9,8.05,,12.95
131,AHMED ABDELRAHMAN,m,EGY,,2022 paris world challenge cup,qual,"paris, france",VT1,,5.2,8.65,0.1,13.75
132,AHMED ABDELRAHMAN,m,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",FX,117.0,5.3,7.366,0.1,12.566
133,AHMED ABDELRAHMAN,m,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",HB,82.0,4.4,8.4,,12.8
134,AHMED ABDELRAHMAN,m,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PB,132.0,4.3,7.466,,11.766
135,AHMED ABDELRAHMAN,m,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PH,94.0,4.2,8.066,,12.266
136,AHMED ABDELRAHMAN,m,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",VT1,59.0,5.2,8.933,,14.133
137,AHMED ABDELRAHMAN,m,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",FX,33.0,5.1,7.266,0.3,12.066
138,AHMED ABDELRAHMAN,m,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",PB,12.0,5.2,8.266,,13.466
139,AHMED ABDELRAHMAN,m,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",PH,36.0,4.7,7.366,,12.066
140,AHMED ABDELRAHMAN,m,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",VT1,,5.2,8.166,,13.366
141,AHMED ABDELRAHMAN,m,EGY,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",FX,38.0,5.2,6.333,0.4,11.133
142,AHMED ABDELRAHMAN,m,EGY,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",VT1,17.0,5.6,7.833,,13.433
143,AHMED ABDELRAHMAN,m,EGY,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",VT2,17.0,5.2,7.9,,13.1
165,ALLY HAMUDA ABDULLAH,m,MAS,,2023 10th senior artistic gymnastics asian championships,qual,singapore,PB,44.0,3.9,7.966,,11.866
166,ALLY HAMUDA ABDULLAH,m,MAS,,2023 10th senior artistic gymnastics asian championships,qual,singapore,SR,14.0,5.2,8.166,,13.366
167,ALLY HAMUDA ABDULLAH,m,MAS,2023-02-23,2023 cottbus world cup,qual,"cottbus, germany",SR,46.0,4.8,5.133,,9.933
170,RASULJON ABDURAKHIMOV,m,UZB,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",HB,39.0,4.6,8.666,,13.266
171,RASULJON ABDURAKHIMOV,m,UZB,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",PB,28.0,6.0,8.233,,14.233
172,RASULJON ABDURAKHIMOV,m,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",FX,26.0,4.7,7.967,,12.667
173,RASULJON ABDURAKHIMOV,m,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",HB,27.0,4.3,8.133,,12.433
174,RASULJON ABDURAKHIMOV,m,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",PB,24.0,5.3,8.1,,13.4
175,RASULJON ABDURAKHIMOV,m,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",PH,43.0,4.6,5.9,,10.5
176,RASULJON ABDURAKHIMOV,m,UZB,,2022 9th senior artistic gymnastics asian championships,qual,"doha, qatar",SR,26.0,4.1,8.467,,12.567
177,RASULJON ABDURAKHIMOV,m,UZB,2022-03-31,2022 baku world cup,qual,"baku, azerbaijan",HB,13.0,4.8,8.466,,13.266
178,RASULJON ABDURAKHIMOV,m,UZB,2022-03-31,2022 baku world cup,qual,"baku, azerbaijan",PB,26.0,5.8,6.533,,12.333
179,RASULJON ABDURAKHIMOV,m,UZB,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",HB,17.0,4.2,7.633,,11.833
180,RASULJON ABDURAKHIMOV,m,UZB,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",PB,7.0,5.5,8.533,,14.033
181,RASULJON ABDURAKHIMOV,m,UZB,2022-03-17,2022 cairo world cup,final,"cairo, egypt",PB,5.0,5.8,8.3,,14.1
182,RASULJON ABDURAKHIMOV,m,UZB,2022-03-02,2022 doha world cup,qual,"doha, qatar",PB,17.0,5.1,6.733,,11.833
183,RASULJON ABDURAKHIMOV,m,UZB,,2023 10th senior artistic gymnastics asian championships,final,singapore,HB,5.0,4.9,8.3,,13.2
184,RASULJON ABDURAKHIMOV,m,UZB,,2023 10th senior artistic gymnastics asian championships,qual,singapore,HB,7.0,4.6,9.066,,13.666
185,RASULJON ABDURAKHIMOV,m,UZB,,2023 10th senior artistic gymnastics asian championships,qual,singapore,PB,33.0,5.2,7.5,,12.7
186,RASULJON ABDURAKHIMOV,m,UZB,,2023 10th senior artistic gymnastics asian championships,qual,singapore,PH,47.0,4.6,6.533,,11.133
187,RASULJON ABDURAKHIMOV,m,UZB,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",HB,44.0,4.6,8.666,,13.266
188,RASULJON ABDURAKHIMOV,m,UZB,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PB,96.0,5.5,7.5,,13.0
189,RASULJON ABDURAKHIMOV,m,UZB,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",PH,137.0,3.9,6.2,,10.1
190,RASULJON ABDURAKHIMOV,m,UZB,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",HB,27.0,4.5,8.033,,12.533
191,RASULJON ABDURAKHIMOV,m,UZB,2023-03-09,2023 baku world cup,final,"baku, azerbaijan",PB,7.0,5.9,8.366,,14.266
192,RASULJON ABDURAKHIMOV,m,UZB,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",PB,8.0,5.9,8.366,,14.266
193,RASULJON ABDURAKHIMOV,m,UZB,2023-05-25,2023 varna world challenge cup,final,"varna, bulgaria",HB,8.0,4.3,8.0,0.0,12.3
194,RASULJON ABDURAKHIMOV,m,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",HB,5.0,4.6,8.75,0.0,13.35
195,RASULJON ABDURAKHIMOV,m,UZB,2023-05-25,2023 varna world challenge cup,final,"varna, bulgaria",PB,1.0,5.5,8.733,0.0,14.233
196,RASULJON ABDURAKHIMOV,m,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",PB,1.0,5.5,9.0,0.0,14.5
197,RASULJON ABDURAKHIMOV,m,UZB,2023-05-25,2023 varna world challenge cup,qual,"varna, bulgaria",SR,16.0,4.1,8.4,0.0,12.5
198,SABA ABESADZE,m,GEO,2022-03-31,2022 baku world cup,qual,"baku, azerbaijan",FX,28.0,5.1,6.966,0.3,11.766
199,SABA ABESADZE,m,GEO,2022-03-31,2022 baku world cup,qual,"baku, azerbaijan",PH,29.0,4.7,7.933,,12.633
200,SABA ABESADZE,m,GEO,2022-03-31,2022 baku world cup,qual,"baku, azerbaijan",SR,14.0,4.7,8.233,,12.933
201,SABA ABESADZE,m,GEO,2022-03-02,2022 doha world cup,qual,"doha, qatar",FX,21.0,5.4,7.033,,12.433
202,SABA ABESADZE,m,GEO,2022-03-02,2022 doha world cup,qual,"doha, qatar",PB,19.0,5.1,6.466,,11.566
203,SABA ABESADZE,m,GEO,2022-03-02,2022 doha world cup,qual,"doha, qatar",SR,8.0,5.0,8.066,,13.1
204,SABA ABESADZE,m,GEO,2022-03-02,2022 doha world cup,final,"doha, qatar",SR,8.0,4.7,7.533,,12.233
205,SABA ABESADZE,m,GEO,2022-08-18,2022 senior european championships,qual,"munich, germany",FX,104.0,5.3,6.3,,11.6
206,SABA ABESADZE,m,GEO,2022-08-18,2022 senior european championships,qual,"munich, germany",HB,101.0,3.8,7.266,,11.066
207,SABA ABESADZE,m,GEO,2022-08-18,2022 senior european championships,qual,"munich, germany",PB,56.0,6.0,7.166,,13.166
208,SABA ABESADZE,m,GEO,2022-08-18,2022 senior european championships,qual,"munich, germany",PH,89.0,3.8,7.7,,11.5
209,SABA ABESADZE,m,GEO,2022-08-18,2022 senior european championships,qual,"munich, germany",SR,55.0,4.7,8.333,,13.033
210,SABA ABESADZE,m,GEO,2022-08-18,2022 senior european championships,qual,"munich, germany",VT1,96.0,5.2,7.966,0.3,12.866
