,name,Country,UB_mean_score,UB_std,UB_count,UB_D_mean_score,UB_D_std,UB_E_mean_score,UB_E_std,UB_rank,BB_mean_score,BB_std,BB_count,BB_D_mean_score,BB_D_std,BB_E_mean_score,BB_E_std,BB_rank,FX_mean_score,FX_std,FX_count,FX_D_mean_score,FX_D_std,FX_E_mean_score,FX_E_std,FX_rank,VT_mean_score,VT_std,VT_count,VT_D_mean_score,VT_D_std,VT_E_mean_score,VT_E_std,VT_rank,all_scores_std,Standardized_Score_Sum,Total_Appearances,apparatus_participated,mean_score_of_all
30,ALICE ROSE KINSELLA,GBR,13.58,0.67,16.0,5.77,0.24,7.83,0.57,42.0,12.84,0.83,14.0,5.59,0.29,7.3,0.64,63.0,13.28,0.49,18.0,5.43,0.2,7.87,0.34,26.0,13.84,0.29,11.0,5.0,0.0,8.87,0.25,30.0,0.69,53.540000000000006,59.0,4,13.36
584,ONDINE ACHAMPONG,GBR,13.08,0.58,12.0,5.65,0.39,7.43,0.51,83.0,13.42,0.39,16.0,5.69,0.24,7.73,0.34,23.0,12.85,0.43,11.0,5.28,0.04,7.61,0.38,83.0,14.15,0.2,11.0,5.0,0.0,9.15,0.2,8.0,0.62,53.5,50.0,4,13.37
307,HUAN LUO,CHN,13.71,0.63,3.0,6.07,0.06,7.64,0.57,33.0,13.9,0.18,3.0,5.83,0.12,8.07,0.07,9.0,12.77,0.14,2.0,5.0,0.0,7.77,0.14,97.0,13.07,0.19,2.0,4.2,0.0,8.87,0.19,128.0,0.57,53.449999999999996,10.0,4,13.45
786,ZSOFIA KOVACS,HUN,13.65,1.09,10.0,6.02,0.37,7.63,0.84,38.0,13.1,0.67,11.0,5.5,0.3,7.6,0.57,43.0,12.92,0.46,6.0,5.62,0.1,7.42,0.29,66.0,13.77,0.58,14.0,4.74,0.4,9.03,0.2,35.0,0.8,53.44,41.0,4,13.44
216,ELISA IORIO,ITA,13.73,0.32,3.0,6.17,0.06,7.57,0.27,31.0,13.45,0.07,2.0,5.5,0.0,7.95,0.07,19.0,12.93,0.0,1.0,5.1,0.0,7.93,0.0,61.5,13.23,0.0,1.0,4.2,0.0,9.03,0.0,86.0,0.36,53.34,7.0,4,13.46
670,SHOKO MIYATA,JPN,12.85,0.48,7.0,5.41,0.17,7.43,0.43,111.0,13.2,0.58,11.0,5.63,0.17,7.58,0.48,36.0,13.27,0.58,10.0,5.48,0.19,7.79,0.51,27.0,13.91,0.33,23.0,4.9,0.18,9.01,0.24,22.0,0.61,53.22999999999999,51.0,4,13.49
716,TIANA SUMANASEKERA,USA,12.39,0.66,6.0,5.27,0.14,7.12,0.62,168.0,13.44,0.49,7.0,5.7,0.28,7.75,0.41,21.0,13.21,0.34,6.0,5.43,0.21,7.78,0.49,29.0,14.12,0.11,6.0,5.0,0.0,9.15,0.07,10.0,0.75,53.16,25.0,4,13.3
240,EMJAE FRAZIER,USA,12.2,0.0,1.0,4.7,0.0,7.5,0.0,196.0,13.7,0.0,1.0,5.5,0.0,8.2,0.0,13.0,13.5,0.0,1.0,5.7,0.0,7.8,0.0,16.0,13.75,0.0,1.0,5.0,0.0,8.75,0.0,37.0,0.73,53.15,4.0,4,13.29
723,TONG ZUO,CHN,13.82,0.11,5.0,5.84,0.09,7.98,0.17,26.0,13.29,0.55,3.0,5.47,0.29,7.89,0.32,28.0,13.17,0.0,2.0,5.2,0.14,8.02,0.21,34.0,12.83,0.0,1.0,4.2,0.0,8.63,0.0,216.5,0.44,53.11,11.0,4,13.47
280,GEORGIA GODWIN,AUS,13.45,0.27,11.0,5.57,0.06,7.87,0.24,51.0,13.13,0.59,11.0,5.82,0.19,7.31,0.5,40.0,13.09,0.46,10.0,5.58,0.23,7.63,0.26,41.0,13.38,0.51,19.0,4.62,0.36,8.8,0.27,68.0,0.49,53.050000000000004,51.0,4,13.28
391,KIM BUI,GER,13.9,0.41,3.0,5.8,0.17,8.1,0.24,21.0,12.83,0.0,1.0,4.9,0.0,7.93,0.0,65.0,12.95,0.12,2.0,5.3,0.0,7.65,0.12,58.5,13.18,0.12,2.0,4.2,0.0,8.98,0.12,98.0,0.52,52.86,8.0,4,13.35
491,MANILA ESPOSITO,ITA,13.33,0.78,6.0,5.75,0.18,7.58,0.66,62.0,13.02,1.01,8.0,5.5,0.38,7.52,0.72,51.0,12.96,0.79,9.0,5.41,0.24,7.66,0.59,57.0,13.51,0.25,11.0,4.45,0.2,9.07,0.16,51.0,0.73,52.82,34.0,4,13.22
441,LISA VAELEN,BEL,13.71,0.47,9.0,5.72,0.12,7.98,0.4,34.0,12.2,0.74,6.0,4.97,0.22,7.23,0.66,159.0,13.12,0.16,6.0,5.18,0.1,7.96,0.24,37.0,13.74,0.52,22.0,5.04,0.49,8.72,0.12,38.0,0.74,52.77,43.0,4,13.43
754,XIAOYUAN WEI,CHN,14.54,0.69,6.0,6.37,0.29,8.17,0.43,5.0,12.57,0.0,1.0,5.5,0.0,7.07,0.0,106.0,12.73,0.0,1.0,5.0,0.0,7.73,0.0,105.0,12.9,0.0,1.0,4.2,0.0,8.7,0.0,185.5,1.06,52.74,9.0,4,13.94
108,AYAKA SAKAGUCHI,JPN,12.66,0.85,4.0,4.97,0.25,7.68,0.6,133.0,13.27,0.32,7.0,5.5,0.15,7.77,0.28,30.0,13.01,0.32,7.0,5.11,0.16,7.94,0.19,48.0,13.78,0.41,8.0,4.85,0.28,8.93,0.19,33.0,0.59,52.72,26.0,4,13.26
613,RINA KISHI,JPN,12.57,0.57,2.0,5.0,0.0,7.57,0.57,148.0,13.22,0.45,3.0,5.4,0.1,7.82,0.54,34.0,13.02,0.27,3.0,5.73,0.06,7.29,0.21,47.0,13.9,0.1,3.0,5.0,0.0,8.9,0.1,23.0,0.57,52.71,11.0,4,13.23
550,NAOMI VISSER,NED,13.72,0.85,19.0,6.04,0.14,7.69,0.8,32.0,12.55,0.42,15.0,4.95,0.22,7.61,0.42,109.0,13.21,0.65,15.0,5.54,0.25,7.71,0.42,30.0,13.2,0.12,8.0,4.2,0.0,9.01,0.11,96.5,0.77,52.68000000000001,57.0,4,13.2
281,GEORGIA MAE FENTON,GBR,13.68,0.48,15.0,5.73,0.2,7.96,0.47,35.0,12.72,0.61,11.0,5.41,0.16,7.31,0.58,81.0,12.92,0.41,7.0,4.86,0.26,8.08,0.32,67.0,13.29,0.69,6.0,4.53,0.16,8.8,0.55,78.0,0.67,52.61,39.0,4,13.21
429,LEXI ZEISS,USA,13.41,0.71,7.0,5.69,0.19,7.72,0.61,53.0,12.46,0.82,4.0,5.2,0.0,7.26,0.82,121.0,13.1,0.07,4.0,5.05,0.1,8.05,0.09,39.0,13.59,0.26,7.0,4.83,0.21,8.77,0.27,45.0,0.65,52.56,22.0,4,13.24
340,JIN ZHANG,CHN,12.48,2.06,3.0,5.07,0.23,7.41,1.83,159.0,13.55,0.45,7.0,5.43,0.19,8.12,0.29,15.0,13.08,0.52,9.0,5.47,0.09,7.72,0.41,42.0,13.45,0.5,4.0,5.0,0.4,8.47,0.37,59.0,0.84,52.56,23.0,4,13.21
373,KATELYN JONG,USA,13.13,0.64,10.0,5.77,0.18,7.36,0.54,75.0,12.48,1.01,7.0,5.47,0.14,7.01,1.01,118.0,13.17,0.27,9.0,5.58,0.04,7.59,0.26,33.0,13.78,0.14,7.0,5.0,0.0,8.78,0.14,34.0,0.72,52.56,33.0,4,13.14
259,EYTHORA THORSDOTTIR,NED,13.45,0.21,8.0,5.52,0.05,7.93,0.2,50.0,12.65,0.84,6.0,5.12,0.16,7.53,0.85,91.0,12.87,0.35,6.0,5.07,0.1,7.81,0.36,78.0,13.56,0.74,8.0,4.92,0.21,8.67,0.43,50.0,0.68,52.53,28.0,4,13.19
772,YUNSEO LEE,KOR,13.83,0.51,8.0,6.15,0.15,7.68,0.51,25.0,12.73,0.31,7.0,5.21,0.17,7.52,0.24,80.0,12.99,0.3,8.0,5.18,0.1,7.82,0.34,52.0,12.93,0.25,4.0,4.3,0.2,8.63,0.08,176.0,0.57,52.480000000000004,27.0,4,13.16
755,XIJING TANG,CHN,13.96,0.85,6.0,6.03,0.16,7.92,0.76,19.0,12.54,1.13,5.0,5.76,0.31,6.8,0.87,110.0,12.91,0.54,4.0,5.15,0.17,7.86,0.46,72.0,13.07,0.09,2.0,4.2,0.0,8.87,0.09,128.0,0.99,52.48,17.0,4,13.19
360,KALIYA LINCOLN,USA,11.72,1.61,3.0,5.2,0.17,7.02,0.97,306.0,12.76,0.87,6.0,5.4,0.09,7.42,0.8,76.0,14.01,0.28,6.0,5.93,0.32,8.14,0.12,4.0,13.91,0.3,4.0,4.8,0.4,9.11,0.17,21.0,1.14,52.400000000000006,19.0,4,13.23
573,NOLA MATTHEWS,USA,13.74,0.48,11.0,5.66,0.2,8.08,0.42,30.0,12.74,0.41,10.0,5.21,0.19,7.52,0.44,79.0,12.8,0.53,11.0,5.08,0.16,7.8,0.36,88.0,13.06,0.13,10.0,4.2,0.0,8.86,0.13,133.0,0.58,52.34,42.0,4,13.09
687,SONHYANG KIM,PRK,12.73,0.0,1.0,5.3,0.0,7.43,0.0,126.0,13.03,0.09,2.0,5.4,0.0,7.63,0.09,50.0,12.95,0.02,2.0,5.7,0.0,7.25,0.02,58.5,13.59,0.15,4.0,5.2,0.23,8.44,0.15,44.0,0.37,52.3,9.0,4,13.23
554,NATALIA ISABEL ESCALERA,MEX,13.02,0.83,2.0,5.85,0.07,7.17,0.75,87.0,12.58,0.64,2.0,5.25,0.07,7.33,0.71,102.0,13.22,0.02,2.0,5.15,0.07,8.12,0.02,28.0,13.45,0.02,2.0,4.6,0.0,8.85,0.02,57.5,0.52,52.269999999999996,8.0,4,13.07
658,SEOJEONG YEO,KOR,12.5,0.0,1.0,5.0,0.0,7.5,0.0,156.0,12.68,0.3,4.0,5.55,0.1,7.13,0.26,84.0,12.93,0.24,5.0,5.26,0.21,7.73,0.21,63.0,14.09,0.48,17.0,5.16,0.32,8.94,0.42,12.0,0.76,52.2,27.0,4,13.61
145,CAROLANN HEDUIT,FRA,13.34,0.52,6.0,5.88,0.08,7.46,0.51,60.0,12.42,0.85,8.0,5.45,0.17,7.01,0.73,128.0,12.61,0.52,5.0,5.26,0.11,7.37,0.5,123.0,13.81,0.24,5.0,5.0,0.0,8.83,0.2,31.0,0.81,52.18,24.0,4,12.98
506,MARINE BOYER,FRA,12.72,0.16,4.0,5.05,0.29,7.67,0.25,127.0,13.39,0.45,14.0,5.61,0.14,7.79,0.46,24.0,12.75,0.36,11.0,4.92,0.13,7.87,0.28,100.0,13.29,0.07,4.0,4.2,0.0,9.09,0.07,77.0,0.48,52.15,33.0,4,13.08
602,QINGYING ZHANG,CHN,11.75,0.97,2.0,5.2,0.14,6.55,1.11,297.5,13.9,0.71,5.0,6.32,0.16,7.58,0.61,8.0,13.38,0.21,2.0,5.4,0.0,7.98,0.21,22.0,13.07,0.2,6.0,4.27,0.21,8.8,0.08,130.0,0.85,52.1,15.0,4,13.21
366,KARIS GERMAN,USA,12.9,0.0,1.0,5.8,0.0,7.1,0.0,100.0,12.65,0.0,1.0,5.2,0.0,7.45,0.0,89.0,13.15,0.0,1.0,5.8,0.0,7.45,0.0,35.0,13.35,0.0,1.0,4.2,0.0,9.15,0.0,69.5,0.3,52.050000000000004,4.0,4,13.01
32,ALICIA ZHOU,USA,13.5,0.44,4.0,5.55,0.1,7.95,0.34,47.5,12.6,0.35,4.0,5.1,0.08,7.5,0.34,99.0,12.79,0.2,4.0,4.93,0.05,7.86,0.17,94.0,13.16,0.21,4.0,4.2,0.0,8.96,0.21,103.0,0.46,52.05,16.0,4,13.01
489,MANA OKAMURA,JPN,12.37,0.84,4.0,5.2,0.22,7.17,0.7,170.0,13.81,0.3,5.0,5.68,0.11,8.13,0.23,11.0,12.97,0.23,3.0,5.07,0.12,7.9,0.19,56.0,12.87,0.0,1.0,4.4,0.0,8.47,0.0,204.0,0.79,52.019999999999996,13.0,4,13.1
225,ELLE MUELLER,USA,13.36,0.41,5.0,5.72,0.18,7.64,0.47,57.0,12.13,0.98,5.0,5.38,0.23,6.79,0.73,169.0,13.04,0.3,4.0,4.95,0.1,8.09,0.29,46.0,13.48,0.32,5.0,4.52,0.18,8.96,0.19,54.0,0.77,52.010000000000005,19.0,4,13.0
68,ANGELA ANDREOLI,ITA,12.67,0.0,1.0,5.5,0.0,7.17,0.0,132.0,12.97,0.27,3.0,5.53,0.49,7.43,0.75,55.0,13.5,0.45,3.0,5.63,0.15,7.87,0.32,17.0,12.87,0.35,6.0,4.37,0.37,8.61,0.11,199.0,0.42,52.01,13.0,4,13.02
784,ZOE MILLER,USA,14.01,1.26,9.0,6.24,0.37,7.8,0.83,17.0,12.36,0.75,6.0,5.3,0.2,7.08,0.66,134.0,12.04,0.65,6.0,5.12,0.1,7.02,0.44,255.0,13.57,0.26,6.0,4.6,0.0,8.98,0.25,48.0,1.19,51.98,27.0,4,13.11
609,REBECCA DOWNIE,GBR,14.16,0.32,5.0,6.02,0.27,8.14,0.25,12.0,12.45,0.71,2.0,5.05,0.07,7.4,0.64,123.5,12.5,0.0,1.0,4.4,0.0,8.1,0.0,148.5,12.8,0.0,1.0,4.2,0.0,8.6,0.0,228.5,0.92,51.91,9.0,4,13.44
344,JOSCELYN ROBERSON,USA,11.24,0.87,10.0,4.64,0.46,6.6,0.61,372.0,13.11,0.61,13.0,5.96,0.25,7.15,0.62,42.0,13.51,0.53,15.0,5.9,0.38,7.62,0.26,15.0,14.01,0.4,20.0,5.22,0.21,8.82,0.22,16.0,1.12,51.87,58.0,4,13.2
33,ALINE FRIESS,FRA,13.09,0.48,10.0,5.47,0.13,7.62,0.45,81.0,12.34,0.68,5.0,5.14,0.15,7.22,0.59,138.0,12.8,0.41,6.0,5.07,0.16,7.75,0.45,92.0,13.6,0.51,14.0,4.97,0.51,8.71,0.2,43.0,0.67,51.830000000000005,35.0,4,13.14
700,SYDNEY BARROS,USA,13.0,0.0,1.0,5.7,0.0,7.3,0.0,88.0,13.1,0.0,1.0,5.5,0.0,7.6,0.0,44.5,12.6,0.0,1.0,5.4,0.0,7.2,0.0,125.5,13.1,0.0,1.0,4.2,0.0,8.9,0.0,118.5,0.24,51.800000000000004,4.0,4,12.95
171,CHIHARU YAMADA,JPN,13.39,0.67,6.0,5.67,0.08,7.73,0.59,54.0,12.53,0.35,5.0,5.4,0.22,7.13,0.51,113.0,12.62,0.66,5.0,5.28,0.11,7.36,0.57,120.0,13.2,0.05,2.0,4.2,0.0,9.0,0.05,95.0,0.65,51.739999999999995,18.0,4,12.92
548,NANAMI YAMAMOTO,JPN,13.35,0.0,1.0,5.6,0.0,7.75,0.0,59.0,13.1,0.0,1.0,5.4,0.0,7.7,0.0,44.5,11.9,0.0,1.0,4.9,0.0,7.0,0.0,304.0,13.35,0.0,1.0,4.6,0.0,8.75,0.0,69.5,0.69,51.7,4.0,4,12.92
316,JADE BARBOSA,BRA,11.99,1.1,4.0,5.28,0.21,6.72,0.9,244.0,12.63,0.25,3.0,5.1,0.0,7.53,0.25,94.0,13.2,0.32,3.0,5.57,0.06,7.73,0.17,32.0,13.87,0.06,4.0,5.0,0.0,8.87,0.06,26.0,0.94,51.69,14.0,4,12.92
48,ANA BARBOSU,ROU,12.89,1.12,10.0,5.89,0.37,7.0,0.87,105.0,12.97,0.68,12.0,5.64,0.2,7.36,0.5,54.0,12.92,0.64,13.0,5.41,0.13,7.55,0.53,69.0,12.9,0.52,9.0,4.38,0.23,8.59,0.4,189.0,0.74,51.68,44.0,4,12.92
6,ADDISON FATTA,USA,13.39,0.24,11.0,5.43,0.05,7.96,0.26,56.0,12.11,0.67,9.0,4.96,0.13,7.17,0.58,172.0,12.62,0.57,7.0,5.16,0.3,7.46,0.41,121.0,13.5,0.65,13.0,4.82,0.51,8.69,0.25,53.0,0.79,51.62,40.0,4,13.0
99,ASHLEE SULLIVAN,USA,12.13,1.23,5.0,4.98,0.47,7.15,0.8,209.0,12.99,0.62,6.0,5.6,0.11,7.41,0.56,53.0,13.06,0.31,5.0,5.6,0.14,7.5,0.33,44.0,13.44,0.32,5.0,4.68,0.44,8.82,0.32,61.0,0.82,51.62,21.0,4,12.91
159,CHANGOK AN,PRK,13.94,0.32,3.0,6.07,0.06,7.88,0.32,20.0,11.97,0.09,2.0,5.15,0.07,6.82,0.16,196.0,11.83,1.04,2.0,5.05,0.07,6.98,0.82,325.5,13.85,0.24,5.0,5.36,0.33,8.63,0.35,28.0,1.05,51.59,12.0,4,13.22
395,KOHANE USHIOKU,JPN,12.83,0.0,1.0,5.0,0.0,7.83,0.0,113.5,12.43,0.0,1.0,5.0,0.0,7.43,0.0,127.0,13.07,0.28,2.0,5.35,0.07,7.87,0.14,43.0,13.18,0.6,5.0,4.6,0.37,8.64,0.66,99.0,0.5,51.51,9.0,4,13.03
244,EMMA MALEWSKI,GER,12.91,0.41,5.0,4.94,0.09,7.97,0.35,97.0,13.05,0.66,7.0,5.31,0.13,7.74,0.62,49.0,12.56,0.1,3.0,4.6,0.1,7.96,0.12,138.0,12.97,0.0,1.0,4.2,0.0,8.77,0.0,161.0,0.5,51.49,16.0,4,12.91
330,JENNIFER ROSE GADIROVA,GBR,13.08,0.13,3.0,5.1,0.17,7.98,0.08,82.0,12.81,0.65,7.0,5.43,0.44,7.41,0.36,69.0,13.43,0.28,10.0,5.28,0.04,8.18,0.23,21.0,12.13,1.64,3.0,4.0,0.35,8.8,0.22,441.0,0.77,51.45,23.0,4,13.03
696,SUJONG KIM,PRK,13.21,0.22,3.0,5.6,0.0,7.61,0.22,68.0,13.07,0.2,3.0,5.3,0.0,7.77,0.2,48.0,12.87,0.3,3.0,5.5,0.0,7.37,0.3,79.0,12.3,0.0,1.0,4.0,0.0,8.3,0.0,388.5,0.34,51.45,10.0,4,12.98
471,MADRAY JOHNSON,USA,13.07,0.18,4.0,5.03,0.05,8.05,0.14,84.0,12.53,0.93,5.0,5.26,0.32,7.29,0.84,111.0,12.75,0.21,2.0,5.1,0.0,7.7,0.14,101.0,13.08,0.45,3.0,4.6,0.0,8.55,0.4,124.0,0.61,51.43,14.0,4,12.83
167,CHIAKI HATAKEDA,JPN,12.77,0.46,4.0,5.3,0.0,7.47,0.46,121.0,12.9,0.35,5.0,5.28,0.04,7.62,0.31,61.0,12.78,0.16,6.0,5.18,0.1,7.6,0.22,95.0,12.96,0.82,4.0,4.6,0.0,8.51,0.68,164.0,0.43,51.410000000000004,19.0,4,12.85
343,JORDIS EICHMAN,USA,12.9,0.0,1.0,5.3,0.0,7.6,0.0,100.0,12.95,0.0,1.0,5.4,0.0,7.55,0.0,56.0,12.5,0.0,1.0,5.2,0.0,7.4,0.0,148.5,13.05,0.0,1.0,4.2,0.0,8.85,0.0,134.5,0.24,51.400000000000006,4.0,4,12.85
247,EMMA SPENCE,CAN,12.69,0.2,5.0,4.92,0.08,7.77,0.14,129.0,12.61,0.44,5.0,5.06,0.11,7.55,0.35,98.0,12.84,0.11,3.0,4.63,0.06,8.21,0.14,84.0,13.24,0.53,7.0,4.37,0.39,8.88,0.14,84.0,0.46,51.38,20.0,4,12.88
374,KATELYN ROSEN,USA,12.55,0.56,5.0,5.28,0.27,7.27,0.32,149.5,12.28,0.28,5.0,4.88,0.22,7.4,0.4,145.0,12.91,0.84,5.0,5.22,0.3,7.75,0.55,71.0,13.62,0.16,5.0,4.6,0.0,9.04,0.13,42.0,0.71,51.35999999999999,20.0,4,12.84
104,AURELIE TRAN,CAN,12.9,0.63,7.0,5.24,0.08,7.65,0.56,102.0,12.3,0.61,7.0,5.11,0.15,7.2,0.6,143.0,12.89,0.21,8.0,4.74,0.07,8.15,0.2,75.0,13.26,0.16,6.0,4.2,0.0,9.06,0.16,80.0,0.55,51.35,28.0,4,12.82
527,MICHELLE PINEDA,USA,12.59,0.75,4.0,4.8,0.0,7.79,0.75,144.0,12.58,0.64,4.0,4.97,0.05,7.6,0.59,104.0,12.71,0.24,4.0,4.97,0.1,7.74,0.26,109.0,13.45,0.28,4.0,4.5,0.2,8.95,0.11,57.5,0.6,51.33,16.0,4,12.83
685,SOLYI SHIN,KOR,12.98,0.65,6.0,5.32,0.21,7.66,0.5,89.0,12.46,0.83,5.0,5.64,0.15,6.82,0.72,122.0,12.89,0.32,4.0,5.22,0.05,7.67,0.37,74.0,12.99,0.4,5.0,4.12,0.33,8.87,0.11,155.0,0.6,51.32,20.0,4,12.83
257,EVEYLYNN LOWE,USA,12.55,0.78,4.0,4.95,0.1,7.6,0.69,149.5,12.39,0.35,4.0,5.3,0.08,7.09,0.37,131.0,12.8,0.22,4.0,5.38,0.05,7.48,0.18,90.5,13.56,0.32,4.0,4.5,0.2,9.06,0.14,49.0,0.63,51.300000000000004,16.0,4,12.82
